Citizen_ID,Age,Gender,Modeof_Transport,WorkHours,Shopping_Hours,Energy_kWh,Charging_Station_Usage,CO2_kg,Daily_Steps,Calories_Burned,Sleep_Hours,Entertainment_Hours,SocialMedia_Hours, PublicEvents_Hours ,Total_Activity_Hours,Total_Health_Hours,Fitness_Index,Fiteness_Index1_Scale,Age_Based_Fitness
1102,18,Female,Walking,2,3,9.17,1,75.44,18158,1376,6.4,2,5.6,2.6,18.23,9.43,25.42,7,Good
1107,18,Female,Walking,9,1,9.13,0,81.33,7264,766,6.7,0,3.6,2.6,17.41,7.91,23.26,7,Good
1139,18,Female,Walking,7,3,5.67,1,78.49,3686,532,6.5,0,3.7,2.8,17.11,7.11,22.41,6,Good
1145,18,Female,Walking,3,4,7.76,0,31.61,5262,575,9.6,0,5.4,2.3,15.58,10.48,21.04,6,Good
1194,18,Male,Bicycle,6,0,5.01,0,37.75,9015,777,7.1,1,1.6,0.2,10.3,8.6,14.8,4,Need Improvements
1236,18,Male,Bicycle,0,2,7.74,0,87.85,3484,404,7.2,0,1.7,0.4,4.68,7.78,7.32,1,Need Improvements
1279,18,Female,Public Transport,9,1,5.53,1,60.57,2868,384,8,1,5.3,1.1,17.88,8.48,23.22,7,Good
1296,18,Female,Walking,2,1,5.66,1,30.89,13500,1088,9.3,1,3.6,1.9,11.75,11.55,17.44,5,Need Improvements
1434,18,Male,Walking,3,1,2.87,0,16.46,10019,648,8.2,0,1.7,2.2,9.57,9.87,13.8,4,Need Improvements
1491,18,Male,Walking,1,2,9.73,0,30.79,14187,1133,8.6,1,2,0.4,8.76,10.96,13.86,4,Need Improvements
1492,18,Male,Bicycle,5,2,3.65,1,82.17,18573,1042,7.2,2,2.4,2.2,16.7,10.3,23.02,7,Good
1500,18,Male,Public Transport,0,1,9.33,0,25.55,6369,576,4.1,2,2.4,2.5,8.96,5.16,12.42,3,Need Improvements
1544,18,Female,Walking,3,2,7.99,1,96.04,4088,523,4.9,3,0.3,1.2,10.18,5.58,13.88,4,Need Improvements
1568,18,Male,Car,9,1,8.71,0,85.15,9524,969,5,0,4.1,2.5,18.19,6.59,24.39,7,Good
1698,18,Other,Car,9,3,7.61,0,27.21,13929,1087,5.4,0,2,0.2,16.52,7.72,22.67,7,Good
1727,18,Female,Bicycle,7,4,6.65,0,79.72,18145,1136,8.1,0,2.4,0.2,16.62,11.12,23.23,7,Good
1757,18,Male,Bicycle,8,4,2.17,0,44.05,4514,515,9.2,1,4.4,2.7,20.85,9.95,27.2,8,Excellent
1807,18,Female,Walking,9,3,3.34,0,21.84,8512,876,7.9,0,4.5,1.6,19.52,9.32,26.16,8,Excellent
1824,18,Female,Bicycle,8,1,4.95,1,49.06,6704,435,4.8,1,5.9,0.8,17.82,5.92,22.85,7,Good
1846,18,Male,Public Transport,3,0,8.61,1,27.14,18818,1119,7.9,1,4.3,0.1,11.54,11.04,17.07,5,Need Improvements
1851,18,Male,Car,6,4,4.33,1,27.23,8044,673,5.5,2,0.2,2.6,16.14,6.84,21.4,6,Good
1865,18,Female,EV,0,3,9.9,1,61.33,14071,906,6.9,3,6,1.5,15.85,9.25,21.69,6,Good
1949,18,Other,Walking,9,3,6.12,0,53.21,9581,637,9,0,2.7,2.7,19,10.6,25.2,7,Good
1972,18,Female,EV,6,4,9.74,1,97.83,12556,1125,6.5,1,5,2.7,20.79,8.59,28.01,8,Excellent
1019,19,Male,Walking,8,1,2.58,0,79.72,11047,664,7,2,3.8,1.4,18.04,8.84,23.85,7,Good
1024,19,Female,EV,6,0,3.93,1,57.66,8234,560,6.1,1,4.7,0.7,13.77,7.47,18.41,5,Need Improvements
1055,19,Male,Public Transport,7,0,9.26,0,69.22,12324,923,8.7,1,5.9,2,17.95,10.75,24.48,7,Good
1070,19,Other,Bicycle,2,3,7.94,1,54.22,12936,1132,5,0,5.1,0,12.26,7.16,17.6,5,Need Improvements
1179,19,Female,Public Transport,8,1,5.42,0,77.41,9007,571,6.6,1,4.6,1.1,17.2,8.1,22.61,7,Good
1222,19,Male,EV,4,4,7.3,1,62.86,1386,411,7.5,0,5,1.9,15.13,7.73,19.92,6,Good
1229,19,Male,Public Transport,4,2,7.64,0,34.09,18336,1105,5.5,1,0.7,2.8,13.56,8.56,19.16,5,Need Improvements
1230,19,Female,Public Transport,0,1,7.94,0,46.95,7142,764,7.5,3,2.9,1.1,9.19,8.69,13.49,3,Need Improvements
1238,19,Male,EV,2,2,8.79,0,26.05,12631,927,4.2,2,5.2,0.6,13.91,6.31,19.07,5,Need Improvements
1295,19,Male,Walking,6,2,5.35,0,18.87,12471,907,6.5,1,4.3,1.5,16.88,8.58,22.88,7,Good
1330,19,Male,Walking,1,4,2.43,0,99.51,6266,441,8.8,1,5.8,0.1,12.94,9.84,17.52,5,Need Improvements
1410,19,Female,Walking,5,2,3.28,0,83,8855,939,7.6,1,5.6,2.5,17.58,9.08,23.92,7,Good
1413,19,Female,Bike,4,0,4.48,0,70.85,19038,1134,9.7,3,0.5,0.4,11.07,12.87,16.77,5,Need Improvements
